,uid,stemmed
57,28835844,"[u'roll', u'hot', u'rod', u'today', u'pick', u'nike', u'sb', u'premium', u'blazer', u'elit', u'sub', u'pop', u'deadstock', u'black', u'raygun', u'deadstock', u'red', u'lobster']"
58,28835844,"[u'upload', u'youtub', u'video', u'hr', u'secret', u'stash', u'releas']"
59,28835844,"[u'upload', u'youtub', u'video', u'new', u'van', u'vault', u'arriv', u'hot', u'rod', u'along', u'plenti', u'sick', u'gear']"
60,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'septemb', u'09', u'quickstrik', u'releas']"
61,28835844,"[u'upload', u'youtub', u'video', u'mvi', u'0834']"
62,28835844,"[u'upload', u'youtub', u'video', u'hot', u'rod', u'20', u'back', u'labor', u'day', u'school', u'special']"
63,28835844,"[u'upload', u'youtub', u'video', u'hot', u'rod', u'nike', u'sb', u'septemb', u'09', u'dunk', u'blazer', u'releas']"
64,28835844,"[u'upload', u'youtub', u'video', u'hot', u'rod', u'convers', u'arriv']"
65,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'toxic', u'aveng', u'hotrod', u'lo', u'angel', u'wwwhrlifecom', u'3104465527']"
66,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'dunk', u'high', u'pac', u'man', u'quickstrik', u'hotrod', u'wwwhrlifecom', u'hr', u'lo', u'angel']"
67,28835844,"[u'upload', u'youtub', u'video', u'new', u'hotrod', u'ceas', u'desist', u'shirtshotrod', u'hand', u'made', u'lo', u'angel']"
68,28835844,"[u'upload', u'youtub', u'video', u'hotrod', u'goe', u'starbuck', u'part', u'3']"
69,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'august', u'shipment', u'hotrod', u'hr', u'lo', u'angel', u'craze']"
70,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'august', u'releas', u'hotrod', u'hr', u'call', u'3104465527']"
71,28835844,"[u'upload', u'youtub', u'video', u'convers', u'con', u'ct', u'high', u'quickstrik', u'digit', u'tie', u'dye', u'hotro', u'releas', u'call', u'31']"
72,28835844,"[u'upload', u'youtub', u'video', u'hotrod', u'interview', u'noah', u'abram', u'end', u'bad', u'one']"
73,28835844,"[u'upload', u'youtub', u'video', u'hotrod', u'goe', u'starbuck', u'part', u'2']"
74,28835844,"[u'upload', u'youtub', u'video', u'hr', u'hotrod', u'craze', u'plu', u'introduc', u'artist', u'berto']"
75,28835844,"[u'upload', u'youtub', u'video', u'hotrod', u'store', u'tour', u'juli', u'24', u'2009', u'hr', u'lo', u'angel']"
76,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'blazer', u'premium', u'swoosh', u'life', u'releas', u'hotrod', u'call', u'3104465527', u't']"
77,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'dunk', u'low', u'pro', u'miss', u'pacman', u'hotrod', u'releas', u'juli', u'21', u'2009', u'wwwhrlifecom']"
78,28835844,"[u'upload', u'youtub', u'video', u'van', u'vault', u'fall', u'09', u'hotrod', u'shipment', u'showcas', u'review']"
79,28835844,"[u'upload', u'youtub', u'video', u'hotrod', u'top', u'pick', u'week', u'1', u'kyle', u'jordan']"
80,28835844,"[u'upload', u'youtub', u'video', u'hotrod', u'goe', u'starbuck', u'quick', u'refil']"
81,30015494,"[u'rt', u'pampelmoos', u'educastmedia', u'free', u'rumbl', u'mississippi', u'studio', u'tonight', u'sound', u'like', u'great', u'show']"
82,30015494,"[u'pdx', u'follow', u'recmmnd', u'theupsidedown', u'appear', u'doug', u'fir', u'tonight', u'door', u'8', u'indi', u'music']"
83,30015494,"[u'pdx', u'follow', u'recmmnd', u'theupsidedown', u'appear', u'doug', u'fir', u'tonight', u'door', u'8']"
84,30015494,"[u'bizspark', u'oh', u'id', u'love', u'one', u'shirt', u'dont', u'see', u'logo', u'mayb', u'next', u'time']"
85,30015494,"[u'ye', u'educastmedia', u'accept', u'bizspark', u'great', u'program', u'small', u'startup', u'built', u'ms', u'technolog', u'use', u'silverlight', u'2', u'3']"
86,30015494,"[u'anoth', u'compani', u'founder', u'put', u'final', u'touch', u'admin', u'interfac', u'excit', u'portion', u'librarian', u'will', u'util']"
87,30015494,"[u'look', u'interstng', u'educatr', u'librarian', u'2', u'follow', u'stroll', u'acrss', u'mojogirl', u'appear', u'lke', u'mind', u'base', u'twttr', u'bio']"
88,30015494,"[u'rt', u'tweetmem', u'student', u'build', u'hydrogen', u'vehicl', u'get', u'1336', u'mpg', u'ga', u'20']"
89,30015494,"[u'review', u'thedandywarhol', u'sound', u'album', u'nw', u'music', u'blog', u'cant', u'wait', u'lp']"
90,30015494,"[u'enutt', u'let', u'research', u'just', u'bit', u'will', u'get', u'back', u'soon']"
91,30015494,"[u'martinealic', u'daccord', u'avec', u'plaisir']"
92,30015494,"[u'film', u'use', u'higher', u'kill', u'us', u'softli', u'3', u'youtub', u'segment', u'csuf', u'u', u'houston', u'cl', u'florida', u'state', u'u', u'bakercolleg']"
93,30015494,"[u'stdnt', u'ever', u'hve', u'prblm', u'watch', u'film', u'assign', u'class', u'screen', u'miss', u'dvdvh', u'alrdi', u'check']"
94,30015494,"[u'bastil', u'day', u'come', u'think', u'will', u'get', u'download', u'lp']"
95,30015494,"[u'film', u'use', u'higher', u'tragedi', u'macbeth', u'polanski', u'71', u'ccsu', u'brit', u'lit', u'clss', u'prof', u'jone']"
96,30015494,"[u'welcom', u'twitter', u'mike', u'will', u'improv', u'contribut', u'twitterspher', u'easydaymedia', u'gearadrift']"
97,30015494,"[u'friend', u'navi', u'day', u'easydaymedia', u'use', u'fix', u'tacan', u'togeth', u'pt', u'mugu', u'naval', u'air', u'station']"
98,30015494,"[u'new', u'websit', u'go', u'soon', u'say', u'goodby', u'alpha', u'stage', u'compani', u'site', u'new', u'site', u'will', u'much', u'dynam']"
99,30015494,"[u'uwmcio', u'think', u'speak', u'target', u'market', u'certain', u'interest', u'play', u'exclud', u'accept', u'nfp', u'institut']"
100,30015494,"[u'follow', u'proud', u'rt', u'psychmedia', u'educastmedia', u'schwier', u'pleas', u'check', u'spell', u'psychemedia']"
101,30015494,"[u'thx', u'mention', u'rt', u'onematt', u'ff', u'jensiz', u'estarla', u'scriv', u'tyme', u'mike9r', u'educastmedia', u'chriscleland', u'erikayigzaw', u'jimalg', u'38we']"
102,30015494,"[u'courosa', u'here', u'2', u'wish', u'streamd', u'rt', u'henrybctc', u'edmedia', u'morrison', u'pre', u'faculti', u'resist', u'tech', u'gener', u'good', u'disc']"
103,30015494,"[u'pnkrcklibrarian', u'argh', u'almost', u'turn', u'school', u'fish']"
104,30015494,"[u'sld', u'7', u'mebner', u'walthern', u'ppt', u'also', u'blggd', u'sez', u'2day', u'stdnt', u'r', u'dgtl', u'media', u'guru', u'edmedia']"
105,30015494,"[u'hope', u'enjoy', u'edmedia', u'day', u'4', u'wish']"
106,30015494,"[u'u', u'2', u'site', u'yet', u'yeah', u'flashi', u'hey', u'startup', u'higher', u'film', u'teachact', u'moodl', u'sakai']"
107,30015494,"[u'websit', u'yet', u'yeah', u'flashi', u'hey', u'startup', u'bitlyzy9vj', u'higher', u'film', u'teachact', u'moodl', u'sakai']"
108,30015494,"[u'tri', u'reach', u'karl', u'he', u'dead', u'grt', u'statmnt', u'richard', u'tho', u'rt', u'courosa', u'richard', u'marx', u'outrgeou', u'riaa', u'vrdct']"
109,30015494,"[u'film', u'use', u'higher', u'clueless', u'1995', u'mariettacolleg', u'preinternet', u'cultur', u'genx', u'film', u'classic', u'90', u'comedi']"
110,30015494,"[u'u', u'r', u'interest', u'film', u'higher', u'u', u'might', u'b', u'interestd', u'educastmedia', u'hlp', u'delivr', u'media', u'2', u'student', u'247']"
111,30015494,"[u'chasgrundi', u'get', u'video', u'velociraptor', u'impress', u'intrigu', u'educast']"
112,30015494,"[u'id', u'like', u'share', u'list', u'film', u'use', u'english', u'cours', u'around', u'30', u'colleg', u'univers', u'us', u'edmedia']"
113,30015494,"[u'rt', u'ggrosseck', u'present', u'univers', u'readi', u'nextgener', u'edmedia']"
114,30015494,"[u'interest', u'hear', u'educ', u'activ', u'use', u'copyright', u'video', u'reserv', u'higher', u'perhap', u'edmedia', u'mlib09']"
115,30015494,"[u'courosa', u'hw', u'abt', u'totlli', u'opn', u'vrtual', u'conf', u'prsntation', u'allowd', u'adob', u'cnnct', u'gotomeet', u'second', u'life', u'ustream', u'coordntd', u'thru', u'twttr']"
116,30015494,"[u'arieliondotcom', u'checkout', u'mlib09']"
117,30015494,"[u'1', u'rt', u'bonnycastl', u'rt', u'courosa', u'wish', u'event', u'stream', u'edmedia']"
118,30015494,"[u'data', u'mine', u'professor', u'seattleu', u'mba', u'program', u'dr', u'ben', u'kim', u'util', u'second', u'life', u'teach', u'vri', u'intrestng', u'pltfrm', u'edmedia']"
119,30015494,"[u'methel', u'perhap', u'macro', u'level', u'milb09']"
120,30015494,"[u'wow', u'that', u'lot', u'rt', u'kweportfolio', u'16171', u'articl', u's', u'down', u'good', u'us', u'edmedia']"
121,31064071,"[u'welcom', u'home', u'sign', u'dad', u'student', u'put', u'yard', u'lol']"
122,31064071,"[u'cocoapinay48', u'carmenoolalaa', u'im', u'scare', u'ask', u'imma', u'leav', u'one', u'alon']"
123,31064071,"[u'cyntheaaa', u'oh', u'ok', u'just', u'check', u'cuz', u'know', u'u', u'crazi', u'lol']"
124,31064071,"[u'jerk500', u'she', u'sell', u'im', u'look', u'one']"
125,31064071,"[u'uniquemosi', u'dad', u'makn', u'rent', u'car', u'cuz', u'told', u'cam', u'take', u'2', u'arch', u'said', u'kid', u'dirti', u'cant', u'take', u'truck']"
126,31064071,"[u'cyntheaaa', u'wtf', u'u']"
127,31064071,"[u'mattmajorflp', u'news', u'2day', u'said', u'1', u'camden', u'2', u'st', u'loui', u'3', u'detroit', u'danger', u'citi', u'lol', u'hope', u'make', u'back']"
128,31064071,"[u'uniquemosi', u'dad', u'got', u'first', u'thing', u'said', u'wtf', u'happen', u'hair', u'guess', u'hasnt', u'seen', u'lol']"
129,31064071,"[u'gonna', u'hit', u'casino', u'cold', u'lol', u'imma', u'stay', u'front', u'fire', u'place', u'catch', u'nip', u'tuck', u'book', u'puerto', u'rico', u'trip']"
130,31064071,"[u'truth407', u'still', u'cd', u'back', u'day', u'bet', u'dont', u'rememb', u'wrote', u'lmao']"
131,31064071,"[u'mattmajorflp', u'u', u'know', u'anyon', u'go', u'wed', u'2', u'week', u'pr']"
132,31064071,"[u'honeydip05', u'cancel', u'like', u'short']"
133,31064071,"[u'suaveserg', u'u', u'got', u'joke', u'huh', u'u', u'know', u'damn', u'well', u'dont', u'miss', u'meal']"
134,31064071,"[u'just', u'finish', u'eat', u'now', u'mom', u'grill', u'insist', u'put', u'meat', u'bone', u'lol']"
135,31064071,"[u'carmenoolalaa', u'he', u'almost', u'make', u'offer', u'cant', u'refus', u'just', u'keep', u'sweeten', u'deal', u'chang', u'weather', u'lol']"
136,31064071,"[u'lilrica', u'dad', u'want', u'move', u'back', u'bad', u'he', u'tryna', u'bride', u'hous']"
137,31064071,"[u'mom', u'alreadi', u'fix', u'two', u'plate', u'everybodi', u'ask', u'eat', u'orlando', u'cuz', u'im', u'skinni', u'lol', u'knew']"
138,31064071,"[u'deluxpromo', u'u', u'hit', u'gucci', u'store', u'pick', u'coat', u'know', u'everi', u'week']"
139,31064071,"[u'deluxpromo', u'actual', u'lot', u'warmer', u'expect']"
140,31064071,"[u'mcleancrom', u'lol', u'think', u'damn', u'werent', u'even', u'gonna', u'tell']"
141,31064071,"[u'deluxpromo', u'yeah', u'homi', u'im', u'now']"
142,31064071,"[u'honeydip05', u'go', u'indi', u'thur', u'ill', u'back', u'fri', u'sat']"
143,31064071,"[u'thought', u'parent', u'hous', u'sale', u'pull', u'realli', u'welcom', u'home', u'sign', u'dad', u'student', u'made', u'sweet']"
144,31064071,"[u'home', u'sweet', u'home']"
145,31064071,"[u'suaveserg', u'lol', u'think', u'ill', u'surviv', u'im', u'call', u'u', u'time', u'go', u'memphi']"
146,31064071,"[u'suaveserg', u'thank', u'im', u'now', u'miss', u'warm', u'weather', u'alreadi', u'lol']"
147,31064071,"[u'lilrica', u'know', u'cant', u'wait']"
148,31064071,"[u'carmenoolalaa', u'thank']"
149,31064071,"[u'airport', u'soon', u'trade', u'warm', u'orlando', u'weather', u'freez', u'temp']"
150,31064071,"[u'christinaclark1', u'man', u'hottt', u'lolyou', u'silli']"
151,31064071,"[u'jbernard1993', u'yeah', u'eric', u'dariu', u'great', u'first', u'time', u'hear']"
152,31064071,"[u'cocoapinay48', u'im', u'work', u'rain', u'live', u'perform', u'tonight', u'woulda', u'work', u'event', u'free']"
153,31064071,"[u'u', u'ever', u'heard', u'saxophonist', u'soooo', u'good', u'sent', u'chill', u'u', u'def', u'just', u'happen', u'2']"
154,31064071,"[u'sissaundra', u'lewi', u'kill', u'mic', u'right', u'now', u'oh', u'mention', u'band', u'awesom', u'well']"
155,31064071,"[u'cocoapinay48', u'oop', u'4got', u'tell', u'carmenoolalaa', u'batt', u'die', u'lol']"
156,31064071,"[u'suaveserg', u'tell', u'work', u'daytona', u'500', u'5', u'yr', u'straight', u'play', u'lol']"
157,31064071,"[u'jpposhspic', u'yet', u'leav', u'morn']"
158,31064071,"[u'suaveserg', u'thought', u'trade', u'day', u'im', u'still', u'wait']"
159,31064071,"[u'carmenoolalaa', u'u', u'hide', u'rock', u'lol', u'blackberri', u'entertain', u'folder']"
160,31064071,"[u'lobster', u'tail', u'ny', u'strip', u'seem', u'like', u'first', u'real', u'meal', u'weekend', u'glad', u'one', u'night']"
161,65142794,"[u'babi', u'cold', u'outsid', u'warm', u'panini', u'sandwich', u'just', u'500', u'today']"
162,65142794,"[u'raini', u'monday', u'got', u'larg', u'20', u'ounc', u'coffe', u'buck']"
163,65142794,"[u'today', u'twitter', u'special', u'friday', u'25', u'smoothi', u'specialti', u'coffe', u'drink', u'free', u'park', u'local', u'artist', u'william', u'gould', u'wall']"
164,65142794,"[u'twitter', u'special', u'day', u'100', u'sandwich', u'hot', u'cold', u'open', u'700am', u'600pm', u'monday', u'friday', u'breakfast', u'lunch']"
165,65142794,"[u'twitter', u'special', u'tuesday', u'hot', u'grill', u'panini', u'sandwich', u'500', u'free', u'park', u'internet', u'cool', u'local', u'art', u'wall']"
166,65142794,"[u'new', u'cool', u'jewelri', u'retrogrademot']"
167,65142794,"[u'come', u'artefino', u'see', u'new', u'art', u'cafe', u'two', u'new', u'work', u'local', u'artist', u'kenn', u'loui', u'slate']"
168,65142794,"[u'welcom', u'back', u'full', u'work', u'week', u'cleveland', u'twitter', u'special', u'today', u'larg', u'20', u'oz', u'coffe', u'100']"
169,65142794,"[u'today', u'twitter', u'special', u'25', u'smoothi', u'specialti', u'coffe', u'drink']"
170,65142794,"[u'today', u'thursday', u'twitter', u'special', u'salad', u'includ', u'grill', u'chicken', u'500']"
171,65142794,"[u'todd', u'leech', u'one', u'artist', u'featur', u'artefino', u'will', u'open', u'sparx', u'citi', u'hop', u'saturday']"
172,65142794,"[u'twitter', u'special', u'day', u'100', u'sandwich', u'hot', u'cold', u'w', u'chip', u'fresh', u'fruit', u'trail', u'mix']"
173,65142794,"[u'welcom', u'back', u'work', u'cleveland', u'today', u'twitter', u'special', u'free', u'12', u'oz', u'coffe', u'breakfast', u'sandwich', u'purchas']"
174,65142794,"[u'mention', u'twitterdiscount', u'artefino', u'cafe', u'today', u'get', u'12', u'oz', u'coffe', u'drink', u'99', u'cent', u'includ', u'mocha', u'latt', u'regular', u'coffe']"
175,65142794,"[u'raini', u'day', u'cleveland', u'serv', u'hot', u'coffe', u'6pm', u'free', u'park', u'back', u'free', u'fast', u'wifi', u'avail', u'cafe']"
176,65142794,[]
177, - new jewelry in the Artefino Gallery from Erika Laine Hansen,[u'nan']
178,65142794,"[u'2008', u'year', u'rat', u'tshirt', u'5', u'buck', u'artefino', u'cafe', u'stylish', u'black', u'tee', u'proce', u'go', u'st', u'clair', u'superior', u'develop']"
179,65142794,"[u'dont', u'forget', u'wish', u'sasha', u'happi', u'birthday', u'pop', u'artefino', u'today']"
180,65142794,"[u'dont', u'forget', u'lunch', u'coffe', u'artefino', u'park', u'back', u'lot', u'free', u'open', u'6pm', u'monday', u'friday']"
181,65142794,"[u'meredith', u'hahn', u'local', u'artist', u'display', u'wall', u'artefino', u'check', u'month']"
182,65142794,"[u'check', u'new', u'websit']"
183,65142794,"[u'head', u'artefino', u'lunch', u'twitter', u'follow', u'get', u'side', u'salad', u'pasta', u'free', u'w', u'lunch', u'purchas', u'suppli', u'last']"
184,65142794,"[u'look', u'local', u'cleveland', u'artist', u'cafenew', u'art', u'come', u'septemberdm', u'artefino', u'inform', u'pl', u'retweet', u'artfriend']"
185,65142794,"[u'go', u'look', u'new', u'artist', u'artefino', u'cafe', u'sparx', u'citi', u'next', u'month', u'carri', u'full', u'time', u'basi', u'pl', u'rtweet']"
186,65142794,"[u'dwill', u'zjayn', u'stop', u'open', u'monday', u'friday', u'6oo', u'pm']"
187,65142794,"[u'coffe', u'ice', u'beauti', u'summer', u'day', u'good', u'morn', u'cleveland', u'welcom', u'new', u'follow']"
188,65142794,"[u'suggest', u'like', u'see', u'twitter', u'special', u'dayweek', u'sandwich', u'smoothi', u'sweet', u'java']"
189,65142794,"[u'coutureinvito', u'consign', u'dm', u'info', u'make', u'trek', u'medina', u'see', u'work']"
190,65142794,"[u'good', u'morn', u'cleveland', u'sunni', u'day', u'clear', u'sky', u'lot', u'new', u'follow', u'tri', u'decid', u'twitter', u'special', u'next', u'week', u'will']"
191,65142794,"[u'close', u'night', u'head', u'door', u'mocha', u'extra', u'whip', u'cream', u'cours']"
192,65142794,"[u'mlzeller', u'eye', u'artwork', u'featur', u'artefino', u'cafe', u'wall', u'fall', u'can', u'avail', u'spark', u'citi']"
193,65142794,"[u'virtuallori', u'thank', u'follow', u'lori', u'look', u'host', u'cleveland', u'handmad', u'event', u'fallholiday', u'pl', u'dm', u'interest']"
194,65142794,"[u'andyhalko', u'hey', u'neighbor', u'thank', u'follow', u'stay', u'tune', u'first', u'follow', u'foodi', u'discount', u'special', u'offer', u'twitter']"
195,65142794,"[u'jesuscrisi', u'thank', u'follow', u'artefino', u'hope', u'host', u'poetri', u'event', u'fall', u'pleas', u'let', u'know', u'interest']"
196,65142794,"[u'denniscoughlin', u'thank', u'follow', u'denni', u'hope', u'lure', u'vk', u'cafe', u'someday']"
197,65142794,"[u'coutureinvito', u'just', u'visit', u'site', u'sell', u'work', u'anywher', u'cleveland', u'area', u'just', u'line', u'artefino', u'also', u'galleri']"
198,65142794,"[u'start', u'artfino', u'cafe', u'galleri', u'twitter', u'follow', u'updat', u'delici', u'menu', u'coffe', u'cool', u'art', u'locat', u'tower', u'press']"
199,29753356,"[u'text', u'fan', u'plantwithpurpos', u'fbook', u'32665', u'mobil', u'phone', u'add', u'fan']"
200,29753356,"[u'3', u'hour', u'north', u'oaxaca', u'citi', u'villag', u'mont', u'flor', u'deforest', u'brought', u'erois', u'degrad']"
201,29753356,"[u'plant', u'30000', u'tree', u'year', u'95', u'surviv', u'rate', u'pictur', u'two', u'activ', u'member', u'commun']"
202,29753356,"[u'rustypritchard', u'hey', u'rusti', u'thank', u'tweet', u'glad', u'like', u'videoalso', u'glad', u'see', u'microlend', u'articl']"
203,29753356,"[u'plant', u'purpos', u'compost', u'tanzania', u'peopl', u'can', u'creat', u'better', u'famili', u'garden']"
204,29753356,"[u'awesom', u'new', u'plant', u'purpos', u'time', u'laps', u'video', u'tanzania']"
205,29753356,"[u'know', u'microfin', u'lot', u'littl', u'check']"
206,article written by Plant With Purpose's... http://bit.ly/sEm21,[u'nan']
207,29753356,"[u'straight', u'oaxaca', u'look', u'forward', u'mani', u'great', u'pictur', u'stori', u'testimoni', u'oaxacan', u'program']"
208,29753356,"[u'thank', u'cathi', u'great', u'photo']"
209,29753356,"[u'number', u'300000', u'rais', u'plant', u'purpos', u'25th', u'annual', u'gala', u'fundrais', u'thank', u'everyon']"
210,29753356,"[u'proud', u'winner', u'silent', u'auction', u'item', u'small', u'show', u'win', u'saturday', u'night', u'25th']"
211,29753356,"[u'vintag', u'plant', u'purpos', u'photo']"
212,29753356,"[u'success', u'gala', u'will', u'result', u'soon', u'25th', u'anniversari', u'gala', u'300', u'peopl']"
213,29753356,"[u'curiou', u'65', u'fan', u'facebook', u'women', u'35', u'men', u'come', u'men', u'love']"
214,29753356,[u'join']
215,Plant With Purpose in helping the rural poor by rsvping for the,[u'nan']
216,Planting Hope gala! You still have a chance... http://bit.ly/4lVyQw,[u'nan']
217,29753356,"[u'need', u'local', u'volunt', u'help', u'us', u'drive', u'found', u'director', u'dominican', u'republ', u'program']"
218,29753356,"[u'need', u'local', u'volunt', u'help', u'us', u'drive', u'found', u'director', u'dominican', u'republ', u'program']"
219,29753356,"[u'love', u'art']"
220,29753356,"[u'come', u'evangel', u'climat', u'initi', u'tuesday', u'octob', u'13', u'1200', u'pm', u'200', u'pm', u'tuesday', u'octob', u'13']"
221,29753356,"[u'jasoncok', u'hey', u'jason', u'kate', u'meet', u'run', u'long', u'ok', u'reschedul', u'give', u'call', u'need', u'8582743718', u'thank']"
222,29753356,"[u'friend', u'plant', u'purpos', u'particip', u'event', u'rais', u'money', u'children', u'west', u'papua']"
223,29753356,"[u'come', u'plnu', u'fall', u'festiv', u'saturday', u'octob', u'17', u'1000', u'230', u'pm', u'plant', u'purpos', u'will', u'event']"
224,29753356,"[u'10', u'year', u'work', u'mexico', u'stori', u'number', u'etc', u'accomplish', u'last', u'10', u'year']"
225,29753356,"[u'face', u'oaxaca', u'mexico']"
226,29753356,"[u'everyon', u'love', u'holiday', u'season', u'can', u'start', u'think', u'least', u'fall']"
227,29753356,"[u'janieo', u'sure', u'next', u'meet', u'work', u'attend', u'global', u'forum', u'human', u'traffick', u'oct', u'89th']"
228,29753356,"[u'rememb', u'firefight', u'work', u'hard', u'protect', u'land', u'peopl']"
